ReaderID,PhotoNo,Transect,StartLatT,StartLonT,StopLatT,StopLonT,FrameLat,FrameLon,Altitude,BB1Reading,BB2Reading,BBCheck,BBTrue,BBWithMother,WP1Reading,WP2Reading,WPCheck,WPTrue,Comments
LL,12003_01_0001,14,,,,,71.37201502,-18.37464377,392.661,,,,,,,,,,
LL,12003_01_0002,14,,,,,71.37201503,-18.36691843,391.128,,,,,,,,,,
LL,12003_01_0003,14,,,,,71.37201504,-18.35909251,390.154,,,,,,,,,,
LL,12003_01_0004,14,,,,,71.37201505,-18.35120957,390.253,,,,,,,,,,
LL,12003_01_0005,14,,,,,71.37201506,-18.34328585,386.657,,,,,,,,,,
LL,12003_01_0006,14,,,,,71.37201507,-18.33535397,385.799,,,,,,,,,,
LL,12003_01_0007,14,,,,,71.37201508,-18.32745379,386.707,,,,,,,,,,
LL,12003_01_0008,14,,,,,71.37201509,-18.31958347,389.889,,,,,,,,,,
LL,12003_01_0009,14,,,,,71.3720151,-18.31174222,391.829,,,,,,,,,,
LL,12003_01_0010,14,,,,,71.37201511,-18.30392654,393.112,,,,,,,,,,
LL,12003_01_0011,14,,,,,71.37201512,-18.29615424,394.633,,,,,,,,,,
LL,12003_01_0012,14,,,,,71.37201513,-18.28842062,395.431,,,,,,,,,,
LL,12003_01_0013,14,,,,,71.37201514,-18.2806924,396.791,,,,,,,,,,
LL,12003_01_0014,14,,,,,71.37201515,-18.27290895,397.823,,,,,,,,,,
LL,12003_01_0015,14,,,,,71.37201516,-18.26504841,398.91,,,,,,,,,,
LL,12003_01_0016,14,,,,,71.37201517,-18.25712058,400.641,,,,,,,,,,
LL,12003_01_0017,14,,,,,71.37201518,-18.24916037,401.411,,,,,,,,,,
LL,12003_01_0018,14,,,,,71.37201519,-18.2411892,401.106,,,,,,,,,,
LL,12003_01_0019,14,,,,,71.3720152,-18.23321758,400.344,,,,,,,,,,
LL,12003_01_0020,14,,,,,71.37201521,-18.22523639,399.639,,,,,,,,,,
LL,12003_01_0021,14,,,,,71.36682798,-18.2172143,398.448,,,,,,,,,,
LL,12003_01_0022,14,,,,,71.36691924,-18.20914801,397.001,,,,,,,,,,
LL,12003_01_0023,14,,,,,71.36705671,-18.20105666,395.798,,,,,,,,,,
LL,12003_01_0024,14,,,,,71.36726646,-18.1929754,396.834,,,,,,,,,,
LL,12003_01_0025,14,,,,,71.36754484,-18.18491995,397.358,,,,,,,,,,
LL,12003_01_0026,14,,,,,71.36786308,-18.17686412,395.357,,,,,,,,,,
LL,12003_01_0027,14,,,,,71.36821732,-18.16878427,393.827,,,,,,,,,,
LL,12003_01_0028,14,,,,,71.36858187,-18.16070024,393.898,,,,,,,,,,
LL,12003_01_0029,14,,,,,71.36880184,-18.15257187,395.437,,,,,,,,,,
LL,12003_01_0030,14,,,,,71.36889698,-18.14441939,396.031,,,,,,,,,,
