LatT,LatM,LatS,LonTStart,LonMStart,LonSStart,antall foto,LonTStop,LonMStop,LonSStop
71,19,3,18,29,77,57,17,30,51
71,19,0,17,30,51,64,18,1,87
71,16,10,18,29,89,76,17,53,35
71,13,6,17,57,58,54,18,24,13
71,10,0,18,24,0,67,17,51,67
71,7,11,17,56,2,68,18,28,55
71,4,2,18,25,54,61,17,57,1
71,1,30,18,1,17,75,18,36,82
70,58,3,18,33,32,50,18,9,71
70,55,5,18,13,53,76,18,46,10
70,51,89,18,36,4,39,18,18,13
70,51,95,18,4,76,73,18,38,89
70,49,36,18,34,85,75,18,0,11
70,46,11,18,17,28,58,18,38,7
70,43,2,18,31,31,46,18,15,15
